Code,Description,Units,total
CGNBXBM<-,Clean bric-a-brac - Per Med box - Low density - Lt clean,£14.80 EA,£14.80
CGNBXBM<+,Clean bric-a-brac - Per Med box - Low density - Hvy clean,£28.21 EA,£28.21
CGNBXBM>,Clean bric-a-brac - Per Med box - High density,£55.61 EA,£55.61
CGNBXBM>-,Clean bric-a-brac - Per Med box - High density - Lt clean,£44.38 EA,£44.38
CGNBXBM>+,Clean bric-a-brac - Per Med box - High density - Hvy clean,£84.54 EA,£84.54
CGNBXBS,Clean bric-a-brac - Per Sml box,£23.19 EA,£23.19
CGNBXBS-,Clean bric-a-brac - Per Sml box - Lt clean,£18.51 EA,£18.51
CGNBXBS+,Clean bric-a-brac - Per Sml box - Hvy clean,£35.01 EA,£35.01
CGNBXBS<,Clean bric-a-brac - Per Sml box - Low density,£15.46 EA,£15.46
CGNBXBS<-,Clean bric-a-brac - Per Sml box - Low density - Lt clean,£12.34 EA,£12.34
CGNBXBS<+,Clean bric-a-brac - Per Sml box - Low density - Hvy clean,£23.48 EA,£23.48
CGNBXBS>,Clean bric-a-brac - Per Sml box - High density,£46.33 EA,£46.33
CGNBXBS>-,Clean bric-a-brac - Per Sml box - High density - Lt clean,£37.04 EA,£37.04
CGNBXBS>+,Clean bric-a-brac - Per Sml box - High density - Hvy clean,£70.39 EA,£70.39
CGNBXBX,Clean bric-a-brac - Per Xlg box,£46.34 EA,£46.34
CGNBXBX-,Clean bric-a-brac - Per Xlg box - Lt clean,£36.83 EA,£36.83
CGNBXBX+,Clean bric-a-brac - Per Xlg box - Hvy clean,£72.14 EA,£72.14
CGNBXBX<,Clean bric-a-brac - Per Xlg box - Low density,£30.90 EA,£30.90
CGNBXBX<-,Clean bric-a-brac - Per Xlg box - Low density - Lt clean,£24.61 EA,£24.61
CGNBXBX<+,Clean bric-a-brac - Per Xlg box - Low density - Hvy clean,£47.21 EA,£47.21
CGNBXBX>,Clean bric-a-brac - Per Xlg box - High density,£92.69 EA,£92.69
CGNBXBX>-,Clean bric-a-brac - Per Xlg box - High density - Lt clean,£73.75 EA,£73.75
CGNBXBX>+,Clean bric-a-brac - Per Xlg box - High density - Hvy clean,£141.39 EA,£141.30
CGNBXDP,Clean dish pack - Per box,£20.59 EA,£20.59
CGNBXDP-,Clean dish pack - Per box - Light clean,£13.03 EA,£13.03
CGNBXDP+,Clean dish pack - Per box - Heavy clean,£42.49 EA,£42.49
CGNBXGL,Clean glass pack - Per box,£16.47 EA,£16.47
CGNBXGL-,Clean glass pack - Per box - Light clean,£11.06 EA,£11.06
CGNBXGL+,Clean glass pack - Per box - Heavy clean,£34.71 EA,£34.71
CGNBXML,Clean misc items - Per Lg box,£30.89 EA,£30.89
CGNBXML-,Clean misc items - Per Lg box - Lt clean,£22.20 EA,£22.20
CGNBXML+,Clean misc items - Per Lg box - Hvy clean,£42.52 EA,£42.52
CGNBXML<,Clean misc items - Per Lg box - Low density,£20.59 EA,£20.59
CGNBXML<-,Clean misc items - Per Lg box - Low density - Lt clean,£14.80 EA,£14.80
CGNBXML<+,Clean misc items - Per Lg box - Low density - Hvy clean,£28.12 EA,£28.12
CGNBXML>,Clean misc items - Per Lg box - High density,£61.78 EA,£61.78
CGNBXML>-,Clean misc items - Per Lg box - High density - Lt clean,£44.37 EA,£44.37
CGNBXML>+,Clean misc items - Per Lg box - High density - Hvy clean,£84.27 EA,£84.27
CGNBXMM,Clean misc items - Per Med box,£24.73 EA,£24.73
CGNBXMM-,Clean misc items - Per Med box - Lt clean,£17.79 EA,£17.79
CGNBXMM+,Clean misc items - Per Med box - Hvy clean,£41.89 EA,£41.89
CGNBXMM<,Clean misc items - Per Med box - Low density,£16.49 EA,£16.49
CGNBXMM<-,Clean misc items - Per Med box - Low density - Lt clean,£11.86 EA,£11.86
CGNBXMM<+,Clean misc items - Per Med box - Low density - Hvy clean,£22.44 EA,£22.44
CGNBXMM>,Clean misc items - Per Med box - High density,£49.46 EA,£49.46
CGNBXMM>-,Clean misc items - Per Med box - High density - Lt clean,£35.54 EA,£35.54
CGNBXMM>+,Clean misc items - Per Med box - High density - Hvy clean,£67.32 EA,£67.32
CGNBXMS,Clean misc items - Per Sml box,£20.63 EA,£20.63
CGNBXMS-,Clean misc items - Per Sml box - Lt clean,£14.85 EA,£14.85
CGNBXMS+,Clean misc items - Per Sml box - Hvy clean,£27.58 EA,£27.58
CGNBXMS<,Clean misc items - Per Sml box - Low density,£13.75 EA,£13.75
CGNBXMS<-,Clean misc items - Per Sml box - Low density - Lt clean,£9.89 EA,£9.89
CGNBXMS<+,Clean misc items - Per Sml box - Low density - Hvy clean,£18.43 EA,£18.43
CGNBXMS>,Clean misc items - Per Sml box - High density,£41.24 EA,£41.24
CGNBXMS>-,Clean misc items - Per Sml box - High density - Lt clean,£29.67 EA,£29.67
CGNBXMS>+,Clean misc items - Per Sml box - High density - Hvy clean,£55.28 EA,£55.28
CGNBXMX,Clean misc items - Per Xlg box,£41.07 EA,£41.07
CGNBXMX-,Clean misc items - Per Xlg box - Lt clean,£29.55 EA,£29.55
CGNBXMX+,Clean misc items - Per Xlg box - Hvy clean,£56.02 EA,£56.02
CGNBXMX<,Clean misc items - Per Xlg box - Low density,£27.38 EA,£27.38
CGNBXMX<-,Clean misc items - Per Xlg box - Low density - Lt clean,£19.66 EA,£19.66
CGNBXMX<+,Clean misc items - Per Xlg box - Low density - Hvy clean,£37.58 EA,£37.58
CGNBXMX>,Clean misc items - Per Xlg box - High density,£82.06 EA,£82.06
CGNBXMX>-,Clean misc items - Per Xlg box - High density - Lt clean,£59.02 EA,£59.02
CGNBXMX>+,Clean misc items - Per Xlg box - High density - Hvy clean,£112.73 EA,£112.70
CGNBXPP,Clean pots and pans - Per medium box,£11.18 EA,£11.18
CGNBXPP-,Clean pots and pans - Per medium box - Light clean,£8.98 EA,£8.98
CGNBXPP+,Clean pots and pans - Per medium box - Heavy clean,£22.21 EA,£22.21
CGNBXPP<,Clean pots and pans - Per small box,£7.86 EA,£7.86
CGNBXPP<-,Clean pots and pans - Per small box - Light clean,£6.33 EA,£6.33
CGNBXPP<+,Clean pots and pans - Per small box - Heavy clean,£15.59 EA,£15.59
CGNBXPP>,Clean pots and pans - Per large box,£13.39 EA,£13.39
CGNBXPP>-,Clean pots and pans - Per large box - Light clean,£10.77 EA,£10.77
CGNBXPP>+,Clean pots and pans - Per large box - Heavy clean,£26.65 EA,£26.65
CGNBXPP>>,Clean pots and pans - Per Xlarge box,£16.73 EA,£16.73
CGNBXPP>>-,Clean pots and pans - Per Xlarge box - Light clean,£13.16 EA,£13.16
CGNBXPP>>+,Clean pots and pans - Per Xlarge box - Heavy clean,£33.29 EA,£33.29
CGNCHIN,Clean china cabinet contents,£44.82 EA,£44.82
CGNCHIN-,Clean china cabinet contents - Light clean,£33.80 EA,£33.80
CGNCHIN+,Clean china cabinet contents - Heavy clean,£52.57 EA,£52.57
CGNCHIN<,Clean china cabinet contents - Small amount,£22.68 EA,£22.68
CGNCHIN<-,Clean china cabinet contents - Small amount - Light clean,£18.28 EA,£18.28
CGNCHIN<+,Clean china cabinet contents - Small amount - Heavy clean,£28.22 EA,£28.22
CGNCHIN>,Clean china cabinet contents - Large amount,£66.90 EA,£66.90
CGNCHIN>-,Clean china cabinet contents - Large amount - Light clean,£52.82 EA,£52.82
CGNCHIN>+,Clean china cabinet contents - Large amount - Heavy clean,£77.09 EA,£77.09
CGNCHS,Clean chest contents,£14.95 EA,£14.95
CGNCHS-,Clean chest contents - Light clean,£9.09 EA,£9.09
CGNCHS+,Clean chest contents - Heavy clean,£16.77 EA,£16.77
CGNCHS<,Clean chest contents - Small amount,£9.09 EA,£9.09
CGNCHS<-,Clean chest contents - Small amount - Light clean,£6.59 EA,£6.59
CGNCHS<+,Clean chest contents - Small amount - Heavy clean,£14.95 EA,£14.95
CGNCHS>,Clean chest contents - Large amount,£17.86 EA,£17.86
CGNCHS>-,Clean chest contents - Large amount - Light clean,£14.95 EA,£14.95
CGNCHS>+,Clean chest contents - Large amount - Heavy clean,£22.25 EA,£22.25
CGNCPT,Clean plastic toy,£7.23 EA,£7.23
CGNCPT-,Clean plastic toy - Light clean,£5.07 EA,£5.07
CGNCPT+,Clean plastic toy - Heavy clean,£10.35 EA,£10.35
CGNCPT<,Clean plastic toy - Small,£3.73 EA,£3.73
CGNCPT<-,Clean plastic toy - Small - Light clean,£2.63 EA,£2.63
CGNCPT<+,Clean plastic toy - Small - Heavy clean,£5.31 EA,£5.31
CGNCPT>,Clean plastic toy - Large,£14.02 EA,£14.02
CGNCPT>-,Clean plastic toy - Large - Light clean,£9.80 EA,£9.80
CGNCPT>+,Clean plastic toy - Large - Heavy clean,£20.53 EA,£20.53
CGNCPT>>,Clean plastic toy - Extra large,£30.17 EA,£30.17
CGNCPT>>-,Clean plastic toy - Extra large - Light clean,£19.52 EA,£19.52
CGNCPT>>+,Clean plastic toy - Extra large - Heavy clean,£45.76 EA,£45.76
CGNCRED,Clean credenza contents,£8.92 EA,£8.92
CGNCRED-,Clean credenza contents - Light clean,£7.41 EA,£7.41
CGNCRED+,Clean credenza contents - Heavy clean,£11.27 EA,£11.27
CGNCRED<,Clean credenza contents - Small amount,£5.59 EA,£5.59
CGNCRED<-,Clean credenza contents - Small amount - Light clean,£4.06 EA,£4.06
CGNCRED<+,Clean credenza contents - Small amount - Heavy clean,£7.51 EA,£7.51
CGNCRED>,Clean credenza contents - Large amount,£17.74 EA,£17.74
CGNCRED>-,Clean credenza contents - Large amount - Light clean,£13.26 EA,£13.26
CGNCRED>+,Clean credenza contents - Large amount - Heavy clean,£24.76 EA,£24.76
CGNCUR,Clean curio cabinet contents,£11.71 EA,£11.71
CGNCUR-,Clean curio cabinet contents - Light clean,£7.80 EA,£7.80
CGNCUR+,Clean curio cabinet contents - Heavy clean,£18.73 EA,£18.73
CGNCUR<,Clean curio cabinet contents - Small amount,£8.05 EA,£8.05
CGNCUR<-,Clean curio cabinet contents - Small amount - Light clean,£4.88 EA,£4.88
CGNCUR<+,Clean curio cabinet contents - Small amount - Heavy clean,£13.38 EA,£13.38
CGNCUR>,Clean curio cabinet contents - Large amount,£25.81 EA,£25.81
CGNCUR>-,Clean curio cabinet contents - Large amount - Light clean,£18.03 EA,£18.03
CGNCUR>+,Clean curio cabinet contents - Large amount - Heavy clean,£30.44 EA,£30.44
CGNDESK,Clean desk contents,£14.70 LM,£14.70
CGNDESK-,Clean desk contents - Light clean,£12.21 LM,£12.21
CGNDESK+,Clean desk contents - Heavy clean,£24.62 LM,£24.62
CGNDESK<,Clean desk contents - Small amount,£10.55 LM,£10.55
CGNDESK<-,Clean desk contents - Small amount - Light clean,£7.41 LM,£7.41
CGNDESK<+,Clean desk contents - Small amount - Heavy clean,£18.62 LM,£18.62
CGNDESK>,Clean desk contents - Large amount,£24.46 LM,£24.46
CGNDESK>-,Clean desk contents - Large amount - Light clean,£14.70 LM,£14.70
CGNDESK>+,Clean desk contents - Large amount - Heavy clean,£36.44 LM,£36.44
CGNDH,Clean doll house,£15.74 EA,£15.74
CGNDH-,Clean doll house - Light clean,£10.71 EA,£10.71
CGNDH+,Clean doll house - Heavy clean,£18.04 EA,£18.04
CGNDH>,Clean doll house - Large,£22.24 EA,£22.24
CGNDH>-,Clean doll house - Large - Light clean,£14.91 EA,£14.91
CGNDH>+,Clean doll house - Large - Heavy clean,£25.70 EA,£25.70
CGNDODROZ,Deodorisation room - Ozone treatment,£1.71 M3,£1.71
CGNDODROZ<,Deodorisation chamber - Ozone treatment - Low density,£1.16 M3,£1.16
CGNDODROZ>,Deodorisation chamber - Ozone treatment - High density,£2.55 M3,£2.55
CGNDRES,Clean dresser contents,£8.00 LM,£8.00
CGNDRES-,Clean dresser contents - Light clean,£6.61 LM,£6.61
CGNDRES+,Clean dresser contents - Heavy clean,£13.20 LM,£13.20
CGNDRES<,Clean dresser contents - Small amount,£6.81 LM,£6.81
CGNDRES<-,Clean dresser contents - Small amount - Light clean,£4.79 LM,£4.79
CGNDRES<+,Clean dresser contents - Small amount - Heavy clean,£10.20 LM,£10.20
CGNDRES>,Clean dresser contents - Large amount,£12.68 LM,£12.68
CGNDRES>-,Clean dresser contents - Large amount - Light clean,£9.29 LM,£9.29
CGNDRES>+,Clean dresser contents - Large amount - Heavy clean,£19.18 LM,£19.18
CGNENT,Clean entertainment ctr. contents,£9.17 LM,£9.17
CGNENT-,Clean entertainment ctr. contents - Light clean,£6.13 LM,£6.13
CGNENT+,Clean entertainment ctr. contents - Heavy clean,£11.72 LM,£11.72
CGNENT<,Clean entertainment ctr. contents - Small amt,£5.85 LM,£5.85
CGNENT<-,Clean entertainment ctr. contents - Small amt - Light cln,£4.65 LM,£4.65
CGNENT<+,Clean entertainment ctr. contents - Small amt - Heavy cln,£9.50 LM,£9.50
CGNENT>,Clean entertainment ctr. contents - Large amt,£12.48 LM,£12.48
CGNENT>-,Clean entertainment ctr. contents - Large amt - Light cln,£9.17 LM,£9.17
CGNENT>+,Clean entertainment ctr. contents - Large amt - Heavy cln,£18.67 LM,£18.67
CGNETAG,Clean etagere unit contents,£11.46 EA,£11.46
CGNETAG-,Clean etagere unit contents - Light clean,£7.68 EA,£7.68
CGNETAG+,Clean etagere unit contents - Heavy clean,£18.53 EA,£18.53
CGNETAG<,Clean etagere unit contents - Small amt,£7.80 EA,£7.80
CGNETAG<-,Clean etagere unit contents - Small amt - Light clean,£4.76 EA,£4.76
CGNETAG<+,Clean etagere unit contents - Small amt - Heavy clean,£13.18 EA,£13.18
CGNETAG>,Clean etagere unit contents - Large amt,£25.56 EA,£25.56
CGNETAG>-,Clean etagere unit contents - Large amt - Light clean,£17.91 EA,£17.91
CGNETAG>+,Clean etagere unit contents - Large amt - Heavy clean,£30.24 EA,£30.24
CGNKU,Clean kitchen unit contents,£25.91 LM,£25.91
CGNKU-,Clean kitchen unit contents - Light clean,£22.48 LM,£22.48
CGNKU+,Clean kitchen unit contents - Heavy clean,£29.32 LM,£29.32
CGNKU<,Clean kitchen unit contents - Small amount,£19.91 LM,£19.91
CGNKU<-,Clean kitchen unit contents - Small amount - Light clean,£15.92 LM,£15.92
CGNKU<+,Clean kitchen unit contents - Small amount - Heavy clean,£23.70 LM,£23.70
CGNKU>,Clean kitchen unit contents - Large amount,£29.99 LM,£29.99
CGNKU>-,Clean kitchen unit contents - Large amount - Light clean,£21.75 LM,£21.75
CGNKU>+,Clean kitchen unit contents - Large amount - Heavy clean,£34.38 LM,£34.38
CGNLAB,Cleaning - Contents - Per hour,£21.37 HR,£21.37
CGNLABM,Cleaning - Technician incl. cleaning agent - Per hour,£22.21 HR,£22.21
CGNLABR,Cleaning - Remediation Technician - Per hour,£21.70 HR,£21.70
CGNLABS,Cleaning - Supervisory/Administrative - Per hour,£23.11 HR,£23.11
CGNLUG,Clean luggage - Average size,£11.34 EA,£11.34
CGNLUG-,Clean luggage - Average size - Light clean,£7.56 EA,£7.56
CGNLUG+,Clean luggage - Average size - Heavy clean,£13.27 EA,£13.27
CGNLUG<,Clean luggage - Small size,£5.74 EA,£5.74
CGNLUG<-,Clean luggage - Small size - Light clean,£5.06 EA,£5.06
CGNLUG<+,Clean luggage - Small size - Heavy clean,£7.68 EA,£7.68
CGNLUG>,Clean luggage - Large size,£15.00 EA,£15.00
CGNLUG>-,Clean luggage - Large size - Light clean,£12.78 EA,£12.78
CGNLUG>+,Clean luggage - Large size - Heavy clean,£22.67 EA,£22.67
CGNMBC,Clean mirrored bathroom cabinet contents,£10.12 EA,£10.12
CGNMBC-,Clean mirrored bathroom cabinet contents - Light clean,£7.56 EA,£7.56
CGNMBC+,Clean mirrored bathroom cabinet contents - Heavy clean,£11.71 EA,£11.71
CGNMBC<,Clean mirrored bathroom cabinet contents - Small amt,£4.03 EA,£4.03
CGNMBC<-,Clean mirrored bathroom cabinet contents - Small amt - Lt,£2.99 EA,£2.99
CGNMBC<+,Clean mirrored bathroom cabinet contents - Small amt - Hvy,£6.23 EA,£6.23
CGNMBC>,Clean mirrored bathroom cabinet contents - Large amt,£13.50 EA,£13.50
CGNMBC>-,Clean mirrored bathroom cabinet contents - Lrg amt - Light,£11.22 EA,£11.22
CGNMBC>+,Clean mirrored bathroom cabinet contents - Lrg amt - Heavy,£17.19 EA,£17.19
CGNMSC,Clean miscellaneous items,£1.00 EA,£1.00
CGNMSC-,Clean miscellaneous items - Light clean,£0.80 EA,£0.80
CGNMSC+,Clean miscellaneous items - Heavy clean,£1.57 EA,£1.57
CGNMWC,Clean microwave cart contents,£9.85 EA,£9.85
CGNMWC-,Clean microwave cart contents - Light clean,£7.38 EA,£7.38
CGNMWC+,Clean microwave cart contents - Heavy clean,£12.73 EA,£12.73
CGNMWC<,Clean microwave cart contents - Small amount,£5.59 EA,£5.59
CGNMWC<-,Clean microwave cart contents - Small amount - Light clean,£3.21 EA,£3.21
CGNMWC<+,Clean microwave cart contents - Small amount - Heavy clean,£8.18 EA,£8.18
CGNMWC>,Clean microwave cart contents - Large amount,£14.78 EA,£14.78
CGNMWC>-,Clean microwave cart contents - Large amount - Light clean,£12.63 EA,£12.63
CGNMWC>+,Clean microwave cart contents - Large amount - Heavy clean,£17.84 EA,£17.84
CGNNIT,Clean night stand contents,£7.46 EA,£7.46
CGNNIT-,Clean night stand contents - Light clean,£4.49 EA,£4.49
CGNNIT+,Clean night stand contents - Heavy clean,£9.07 EA,£9.07
CGNNIT<,Clean night stand contents - Small amount,£5.02 EA,£5.02
CGNNIT<-,Clean night stand contents - Small amount - Light clean,£3.47 EA,£3.47
CGNNIT<+,Clean night stand contents - Small amount - Heavy clean,£7.05 EA,£7.05
CGNNIT>,Clean night stand contents - Large amount,£8.92 EA,£8.92
CGNNIT>-,Clean night stand contents - Large amount - Light clean,£5.59 EA,£5.59
CGNNIT>+,Clean night stand contents - Large amount - Heavy clean,£11.27 EA,£11.27
CGNPLNT,Clean plant,£3.44 EA,£3.44
CGNPLNT-,Clean plant - Light clean,£2.29 EA,£2.29
CGNPLNT+,Clean plant - Heavy clean,£6.90 EA,£6.90
CGNPLNT>,Clean plant - Large,£13.56 EA,£13.56
CGNPLNT>-,Clean plant - Large - Light clean,£6.79 EA,£6.79
CGNPLNT>+,Clean plant - Large - Heavy clean,£19.44 EA,£19.44
CGNPT,Clean pool table,£40.18 EA,£40.18
CGNPT-,Clean pool table - Light clean,£27.52 EA,£27.52
CGNPT+,Clean pool table - Heavy clean,£53.82 EA,£53.82
CGNSERV,Clean serving cart contents,£14.73 EA,£14.73
CGNSERV-,Clean serving cart contents - Light clean,£11.04 EA,£11.04
CGNSERV+,Clean serving cart contents - Heavy clean,£17.74 EA,£17.74
CGNSERV<,Clean serving cart contents - Small amount,£11.07 EA,£11.07
CGNSERV<-,Clean serving cart contents - Small amount - Light clean,£7.38 EA,£7.38
CGNSERV<+,Clean serving cart contents - Small amount - Heavy clean,£14.83 EA,£14.83
CGNSERV>,Clean serving cart contents - Large amount,£17.62 EA,£17.62
CGNSERV>-,Clean serving cart contents - Large amount - Light clean,£14.70 EA,£14.70
CGNSERV>+,Clean serving cart contents - Large amount - Heavy clean,£22.13 EA,£22.13
CGNSH,Clean contents of shelving,£9.66 LM,£9.66
CGNSH-,Clean contents of shelving - Light clean,£7.91 LM,£7.91
CGNSH+,Clean contents of shelving - Heavy clean,£14.27 LM,£14.27
CGNSH<,Clean contents of shelving - Small amount,£8.18 LM,£8.18
CGNSH<-,Clean contents of shelving - Small amount - Light clean,£4.97 LM,£4.97
CGNSH<+,Clean contents of shelving - Small amount - Heavy clean,£11.45 LM,£11.45
CGNSH>,Clean contents of shelving - Large amount,£11.88 LM,£11.88
CGNSH>-,Clean contents of shelving - Large amount - Light clean,£10.37 LM,£10.37
CGNSH>+,Clean contents of shelving - Large amount - Heavy clean,£16.37 LM,£16.37
CGNSIDE,Clean sideboard contents,£22.38 EA,£22.38
CGNSIDE-,Clean sideboard contents - Light clean,£17.99 EA,£17.99
CGNSIDE+,Clean sideboard contents - Heavy clean,£27.88 EA,£27.88
CGNSIDE<,Clean sideboard contents - Small amount,£12.98 EA,£12.98
CGNSIDE<-,Clean sideboard contents - Small amount - Light clean,£9.22 EA,£9.22
CGNSIDE<+,Clean sideboard contents - Small amount - Heavy clean,£17.99 EA,£17.99
CGNSIDE>,Clean sideboard contents - Large amount,£33.18 EA,£33.18
CGNSIDE>-,Clean sideboard contents - Large amount - Light clean,£27.02 EA,£27.02
CGNSIDE>+,Clean sideboard contents - Large amount - Heavy clean,£38.57 EA,£38.57
CGNTREE,Clean tree (potted),£11.12 EA,£11.12
CGNTREE-,Clean tree (potted) - Light clean,£8.84 EA,£8.84
CGNTREE+,Clean tree (potted) - Heavy clean,£14.93 EA,£14.93
CGNTREE>,Clean tree (potted) - Large,£22.08 EA,£22.08
CGNTREE>-,Clean tree (potted) - Large - Light clean,£12.60 EA,£12.60
